X,Y,track_fid,track_seg_id,track_seg_point_id,ele
45.43909421,35.5852682,0,0,0,919.2
45.43921109,35.58526827,0,0,1,918.1
45.43898377,35.58519007,0,0,2,917.98
45.43882183,35.58520884,0,0,3,917.12
45.43867036,35.58522108,0,0,4,916.47
45.43855475,35.58522746,0,0,5,916.38
45.43841376,35.58524127,0,0,6,915.98
45.43826575,35.58525468,0,0,7,915.7
45.43809858,35.58527113,0,0,8,915.02
45.43791259,35.58528553,0,0,9,914.56
45.43770393,35.58530627,0,0,10,914.14
45.43748474,35.58532563,0,0,11,913.96
45.43727305,35.58534021,0,0,12,913.35
45.43709727,35.58535782,0,0,13,912.83
45.43697487,35.58537229,0,0,14,911.44
45.43683416,35.58537878,0,0,15,910.22
45.43670459,35.58539085,0,0,16,909.98
45.43654722,35.58539841,0,0,17,909.4
45.43639315,35.58540471,0,0,18,909.1
45.43623541,35.58539828,0,0,19,908.5
45.43610916,35.58539811,0,0,20,907.56
45.43606639,35.58529607,0,0,21,908.54
45.43619178,35.5852711,0,0,22,908.59
45.43632372,35.58526327,0,0,23,908.45
45.43647531,35.58523856,0,0,24,908.85
45.43663151,35.58520837,0,0,25,908.67
45.43680008,35.58519427,0,0,26,908.95
45.43693417,35.58518552,0,0,27,909.28
45.43706883,35.58517286,0,0,28,909.69
45.43718541,35.58515762,0,0,29,910.13
45.43732748,35.58513305,0,0,30,911.3
45.43748855,35.58511094,0,0,31,911.94
45.43766682,35.58508778,0,0,32,912.9
45.43786081,35.58507118,0,0,33,913.84
45.43803316,35.58506161,0,0,34,914.31
45.43814217,35.58504451,0,0,35,915.11
45.43823519,35.5849668,0,0,36,916.12
45.43823641,35.58484743,0,0,37,915.11
45.43822083,35.58471586,0,0,38,913.7
45.43819282,35.5845636,0,0,39,912.36
45.43812946,35.58440423,0,0,40,910.4
45.438066,35.58431847,0,0,41,909.81
45.43798757,35.58424506,0,0,42,908.78
45.43790081,35.58417117,0,0,43,908.29
45.4378103,35.58409951,0,0,44,908.18
45.43771838,35.5840374,0,0,45,907.24
45.43760996,35.58397779,0,0,46,906.69
45.4375001,35.58391084,0,0,47,905.78
45.43739515,35.58384144,0,0,48,904.69
45.43728728,35.58377374,0,0,49,904.2
45.43717317,35.58369795,0,0,50,902.96
45.437063,35.58362512,0,0,51,902.43
45.4369492,35.58355603,0,0,52,901.15
45.43683331,35.58347796,0,0,53,901
45.43671119,35.58340057,0,0,54,899.93
45.43659514,35.58332708,0,0,55,899.18
45.43648245,35.58325574,0,0,56,898.3
45.43636986,35.58318301,0,0,57,897.35
45.43625907,35.58310256,0,0,58,896.95
45.43615539,35.58302378,0,0,59,896.34
45.4360667,35.58294982,0,0,60,895.48
45.43599049,35.58287424,0,0,61,895.8
45.43591724,35.5827933,0,0,62,895.43
45.43579858,35.58265186,0,0,63,895.3
45.43571452,35.58256236,0,0,64,895.73
45.4355982,35.58256104,0,0,65,895.98
45.43545191,35.58262954,0,0,66,895.49
45.43530312,35.58268625,0,0,67,894.93
45.4351177,35.58277224,0,0,68,894.17
45.43500637,35.5828224,0,0,69,893.63
45.43489626,35.58286885,0,0,70,893.24
45.43479014,35.58291917,0,0,71,892.9
45.43468322,35.58297087,0,0,72,891.97
45.43457346,35.58302921,0,0,73,891.35
45.43446342,35.58309152,0,0,74,891.35
45.4343554,35.58314722,0,0,75,891.05
45.43424693,35.58320755,0,0,76,890.84
45.434136,35.58326492,0,0,77,890.57
45.4340238,35.58332298,0,0,78,890.23
45.43391907,35.58337562,0,0,79,889.96
45.43381604,35.58342571,0,0,80,889.62
45.43371103,35.58346824,0,0,81,889.91
45.43360866,35.58350932,0,0,82,889.98
45.43350884,35.58355574,0,0,83,890.07
45.43340515,35.58360185,0,0,84,890.31
45.43329743,35.58365163,0,0,85,890.64
45.43318504,35.5837148,0,0,86,890.74
45.43306431,35.58378028,0,0,87,890.55
45.43294244,35.58384768,0,0,88,890.48
45.43282582,35.58390712,0,0,89,890.74
45.43270306,35.58397473,0,0,90,890.98
45.43257727,35.58404663,0,0,91,890.74
45.43244741,35.58411694,0,0,92,890.79
45.43231314,35.58419179,0,0,93,891.09
45.43218194,35.58426884,0,0,94,891.4
45.43204641,35.58434824,0,0,95,891.19
45.43190723,35.58441994,0,0,96,891.15
45.43176732,35.58448586,0,0,97,890.76
45.43162557,35.5845537,0,0,98,890.55
45.43148145,35.58462458,0,0,99,890.31
45.43133266,35.58468935,0,0,100,890.1
45.43118444,35.58475508,0,0,101,889.63
45.43103259,35.58481577,0,0,102,889.32
45.43088223,35.58486999,0,0,103,889.57
45.4307312,35.58492141,0,0,104,888.89
45.43057806,35.58497159,0,0,105,888.67
45.43042349,35.58502424,0,0,106,888.35
45.43025978,35.58507415,0,0,107,888.36
45.43009504,35.58511556,0,0,108,888.26
45.42993113,35.5851579,0,0,109,888.25
45.42978075,35.58518691,0,0,110,888.06
45.4296348,35.5852135,0,0,111,887.91
45.42948415,35.58523788,0,0,112,887.96
45.42933794,35.5852562,0,0,113,888.13
45.42918968,35.58527526,0,0,114,887.65
45.42904361,35.58529153,0,0,115,887.37
45.42889594,35.58530243,0,0,116,886.82
45.42874452,35.58530888,0,0,117,886.63
45.42859542,35.58531521,0,0,118,886.34
45.428443,35.58531975,0,0,119,885.88
45.42829189,35.58531644,0,0,120,885.74
45.4281335,35.58531329,0,0,121,885.67
45.42797484,35.58530917,0,0,122,885.46
45.42781878,35.58530547,0,0,123,885.38
45.4276465,35.58528958,0,0,124,885.61
45.42747809,35.58526592,0,0,125,885.64
45.4273042,35.58524053,0,0,126,885.2
45.42712251,35.58521148,0,0,127,884.93
45.42693591,35.58517605,0,0,128,884.86
45.42674688,35.58513815,0,0,129,885.12
45.42655817,35.58509778,0,0,130,885.47
45.42637709,35.58505414,0,0,131,885.8
45.42619884,35.58500745,0,0,132,885.9
45.42602156,35.58495572,0,0,133,886.03
45.42584262,35.58489648,0,0,134,885.89
45.42567461,35.58483429,0,0,135,885.44
45.42550759,35.58477268,0,0,136,884.63
45.42534116,35.58470216,0,0,137,884.12
45.42517584,35.58463419,0,0,138,883.28
45.42501405,35.58456308,0,0,139,882.45
45.424851,35.58448665,0,0,140,881.24
45.4246947,35.58440572,0,0,141,880.13
45.42453838,35.58432668,0,0,142,879
45.42439085,35.58425297,0,0,143,877.9
45.42425015,35.5841795,0,0,144,876.98
45.42410958,35.5841083,0,0,145,876.06
45.42396539,35.58403582,0,0,146,875.19
45.4238207,35.58396419,0,0,147,874.58
45.42367855,35.58389382,0,0,148,874.01
45.42352973,35.58382131,0,0,149,873.42
45.42338014,35.58374923,0,0,150,872.54
45.42323062,35.58367532,0,0,151,871.81
45.42307804,35.58360376,0,0,152,871.11
45.42292268,35.58353005,0,0,153,870.53
45.4227666,35.58345576,0,0,154,870.39
45.42261156,35.58338771,0,0,155,870.29
45.42246197,35.58332485,0,0,156,870.23
45.42230705,35.58326557,0,0,157,870.27
45.42214981,35.58320986,0,0,158,870.71
45.42200373,35.58315357,0,0,159,870.77
45.4218578,35.5831052,0,0,160,870.83
45.42170678,35.58305439,0,0,161,870.86
45.4215519,35.58300406,0,0,162,871
45.42139596,35.58295587,0,0,163,870.74
45.42123733,35.58290498,0,0,164,870.51
45.42107849,35.58285271,0,0,165,870.31
45.42091593,35.58280413,0,0,166,870.11
45.42075315,35.582752,0,0,167,869.88
45.42059124,35.58270202,0,0,168,869.79
45.42041933,35.58266345,0,0,169,869.39
45.42024013,35.58261778,0,0,170,869.09
45.42007207,35.58257732,0,0,171,868.62
45.41990285,35.58253935,0,0,172,868.16
45.41973003,35.58250352,0,0,173,867.29
45.41956076,35.58246959,0,0,174,866.62
45.41939334,35.58243737,0,0,175,866.07
45.41923215,35.58240882,0,0,176,865.48
45.41906853,35.58237847,0,0,177,865.09
45.41890851,35.58235315,0,0,178,864.45
45.41874395,35.58232326,0,0,179,863.71
45.41858748,35.58229602,0,0,180,862.98
45.41843089,35.58226787,0,0,181,862.25
45.41827451,35.58223971,0,0,182,861.81
45.41811839,35.58220965,0,0,183,861.62
45.41796174,35.58218094,0,0,184,861.28
45.41780382,35.58214725,0,0,185,861.1
45.41764693,35.58211593,0,0,186,860.67
45.41748718,35.58208633,0,0,187,860.27
45.41732644,35.58205251,0,0,188,860.13
45.41716888,35.58202409,0,0,189,859.82
45.41700493,35.58199208,0,0,190,859.48
45.41684216,35.58196188,0,0,191,858.63
45.41668174,35.58193176,0,0,192,858.14
45.41651952,35.58190085,0,0,193,857.72
45.41634954,35.58187107,0,0,194,857.43
45.4161852,35.58184119,0,0,195,856.93
45.41601798,35.58181019,0,0,196,856.53
45.41585722,35.5817795,0,0,197,856.05
45.4156948,35.58174327,0,0,198,855.66
45.41552978,35.5817141,0,0,199,854.85
45.41536818,35.58168165,0,0,200,853.87
45.41520567,35.58165183,0,0,201,853.1
45.41504806,35.58162056,0,0,202,852.35
45.41489332,35.58158956,0,0,203,851.76
45.41473734,35.58155853,0,0,204,851.17
45.41457902,35.58153261,0,0,205,850.64
45.41442203,35.58150368,0,0,206,850.19
45.41427714,35.58147406,0,0,207,849.67
45.41413713,35.58144816,0,0,208,849.2
45.41398708,35.58142204,0,0,209,848.47
45.41384024,35.58139659,0,0,210,848.03
45.41369261,35.58136774,0,0,211,847.5
45.41354416,35.5813411,0,0,212,847.19
45.41339532,35.58131157,0,0,213,846.82
45.41325094,35.58128512,0,0,214,846.35
45.41310272,35.58125817,0,0,215,845.81
45.41295409,35.58123377,0,0,216,845.39
45.41281574,35.58120785,0,0,217,844.65
45.41266938,35.58118217,0,0,218,844.19
45.41254486,35.58116036,0,0,219,843.85
45.41242219,35.58114239,0,0,220,843.2
45.41228798,35.58112512,0,0,221,842.89
45.41216693,35.58110847,0,0,222,842.49
45.41193593,35.58108146,0,0,223,842.11
45.4118246,35.58107325,0,0,224,841.74
45.41170987,35.58107979,0,0,225,841.65
45.41158722,35.58109136,0,0,226,841.29
45.41146652,35.58111509,0,0,227,841.04
45.41134298,35.58115221,0,0,228,840.58
45.41121943,35.58119336,0,0,229,839.95
45.41109398,35.58124179,0,0,230,839.12
45.41096536,35.58129562,0,0,231,838.12
45.41084009,35.58135664,0,0,232,836.87
45.41071903,35.5814205,0,0,233,835.6
45.41060634,35.58149267,0,0,234,834.28
45.41048468,35.58156056,0,0,235,832.96
45.41036539,35.58162501,0,0,236,832.05
45.41025181,35.58168512,0,0,237,831.02
45.41013687,35.58174217,0,0,238,830.14
45.41002074,35.5817901,0,0,239,829.32
45.409909,35.58183902,0,0,240,828.6
45.40979005,35.58188941,0,0,241,827.75
45.40966801,35.58193788,0,0,242,827.03
45.40954669,35.58198412,0,0,243,826.51
45.4094289,35.58202644,0,0,244,826.06
45.40930697,35.58206368,0,0,245,825.64
45.40918887,35.58210119,0,0,246,825.5
45.40908071,35.58214037,0,0,247,825.67
45.40888746,35.5822072,0,0,248,825.92
45.40871893,35.58226919,0,0,249,826.1
45.40858094,35.58232676,0,0,250,826.42
45.40846407,35.582379,0,0,251,825.78
45.40835937,35.58242255,0,0,252,824.83
45.40821349,35.58248016,0,0,253,824
45.40804143,35.58254563,0,0,254,823.65
45.40785871,35.58261678,0,0,255,824.57
45.40767043,35.58268844,0,0,256,825.81
45.40747339,35.5827609,0,0,257,827.62
45.40728189,35.58283186,0,0,258,829.61
45.40709675,35.58289866,0,0,259,830.72
45.40692097,35.58296021,0,0,260,831.24
45.40675713,35.58301669,0,0,261,831.27
45.40663102,35.58306054,0,0,262,831.24
45.40654017,35.58311622,0,0,263,831.78
45.40659662,35.58320039,0,0,264,832.52
45.40669909,35.58323857,0,0,265,832.71
45.40680738,35.58328394,0,0,266,832.79
45.40691731,35.58332261,0,0,267,832.92
45.40704,35.58337009,0,0,268,832.98
45.40717966,35.58342856,0,0,269,833.3
45.40735153,35.58348502,0,0,270,833.55
45.407525,35.58355236,0,0,271,833.77
45.40771667,35.58362372,0,0,272,834.08
45.40791943,35.58370346,0,0,273,834.11
45.40803022,35.58374535,0,0,274,834.31
45.40813838,35.58378754,0,0,275,834.3
45.40824464,35.58383799,0,0,276,834.19
45.4083532,35.5838894,0,0,277,834.22
45.40845494,35.58394448,0,0,278,834.04
45.40855608,35.58400108,0,0,279,834.06
45.40864667,35.58406368,0,0,280,833.61
45.40874315,35.58412583,0,0,281,833.08
45.40883207,35.58418644,0,0,282,832.78
45.4089239,35.584245,0,0,283,832.47
45.40900942,35.58430444,0,0,284,832.27
45.40915153,35.58440851,0,0,285,832.04
45.40925547,35.58448305,0,0,286,832.11
45.40935497,35.58455286,0,0,287,833.03
45.40930795,35.58466224,0,0,288,834.3
45.40922848,35.58475009,0,0,289,835.04
45.40912442,35.58485475,0,0,290,834.74
45.40902452,35.58497801,0,0,291,833.47
45.40890126,35.58510394,0,0,292,831.21
45.40873622,35.58522025,0,0,293,828.7
45.40855526,35.58532336,0,0,294,826.24
45.40845697,35.58536901,0,0,295,825.4
45.40835988,35.58541806,0,0,296,824.53
45.40825704,35.58546917,0,0,297,824.03
45.40815073,35.58552073,0,0,298,824.02
45.40805159,35.58556817,0,0,299,824.22
45.40795703,35.58561619,0,0,300,824.61
45.40777069,35.58571437,0,0,301,825.18
45.40767455,35.58576043,0,0,302,825.67
45.40758007,35.58580983,0,0,303,825.87
45.4073919,35.5859037,0,0,304,825.56
45.40729331,35.58595024,0,0,305,824.68
45.40711499,35.58605317,0,0,306,823.2
45.40701966,35.58610459,0,0,307,822.35
45.40692526,35.5861526,0,0,308,821.59
45.4068297,35.58620025,0,0,309,821.01
45.40665858,35.58629581,0,0,310,819.77
45.40651618,35.58636915,0,0,311,819.19
45.40643491,35.58644322,0,0,312,819.25
45.40645703,35.58654323,0,0,313,819.78
45.40652308,35.58662605,0,0,314,820.3
45.40659407,35.58670668,0,0,315,821.03
45.40665598,35.58680536,0,0,316,822.16
45.40675064,35.58687185,0,0,317,823.61
45.40683477,35.58679846,0,0,318,822.55
